Kota/Kabupaten,Total Sampah(ton),Tahun
KABUPATEN BOGOR,1511.15,2016
KABUPATEN SUKABUMI,419.01,2016
KABUPATEN CIANJUR,981.41,2016
KABUPATEN BANDUNG,1895.94,2016
KABUPATEN GARUT,464.74,2016
KABUPATEN TASIKMALAYA,464.52,2016
KABUPATEN CIAMIS,260.91,2016
KABUPATEN KUNINGAN,251.7,2016
KABUPATEN CIREBON,465.75,2016
KABUPATEN MAJALENGKA,254.63,2016
KABUPATEN SUMEDANG,237.96,2016
KABUPATEN INDRAMAYU,613.18,2016
KABUPATEN SUBANG,487.26,2016
KABUPATEN PURWAKARTA,308.96,2016
KABUPATEN KARAWANG,869.86,2016
KABUPATEN BEKASI,1228.6,2016
KABUPATEN BANDUNG BARAT,616.08,2016
KABUPATEN PANGANDARAN,185.83,2016
KOTA BOGOR,991.93,2016
KOTA SUKABUMI,309.91,2016
KOTA BANDUNG,2448.63,2016
KOTA CIREBON,304.15,2016
KOTA BEKASI,2387.08,2016
KOTA DEPOK,1844.3,2016
KOTA CIMAHI,563.21,2016
KOTA TASIKMALAYA,472.36,2016
KOTA BANJAR,130.21,2016
